[INFO]2021/10/29 23:35:19 log_helper.go:50: input file 
[INFO]2021/10/29 23:36:42 log_helper.go:50: input file%!(EXTRA string=)
[INFO]2021/10/30 02:49:18 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 02:55:26 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 02:56:06 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 03:00:01 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 03:00:18 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 03:55:55 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 04:12:21 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 15:04:06 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 15:06:23 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 15:09:18 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 15:35:40 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 15:36:33 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 15:44:02 log_helper.go:48: source file: ./examples/t8.gl
[INFO]2021/10/30 15:44:29 log_helper.go:48: source file: ./examples/t8.gl
